term,uri
acceptedNameUsage,http://rs.tdwg.org/dwc/terms/acceptedNameUsage
acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID
associatedMedia,http://rs.tdwg.org/dwc/terms/associatedMedia
associatedOccurrences,http://rs.tdwg.org/dwc/terms/associatedOccurrences
associatedOrganisms,http://rs.tdwg.org/dwc/terms/associatedOrganisms
associatedReferences,http://rs.tdwg.org/dwc/terms/associatedReferences
associatedSequences,http://rs.tdwg.org/dwc/terms/associatedSequences
associatedTaxa,http://rs.tdwg.org/dwc/terms/associatedTaxa
basisOfRecord,http://rs.tdwg.org/dwc/terms/basisOfRecord
bed,http://rs.tdwg.org/dwc/terms/bed
behavior,http://rs.tdwg.org/dwc/terms/behavior
caste,http://rs.tdwg.org/dwc/terms/caste
catalogNumber,http://rs.tdwg.org/dwc/terms/catalogNumber
class,http://rs.tdwg.org/dwc/terms/class
collectionCode,http://rs.tdwg.org/dwc/terms/collectionCode
collectionID,http://rs.tdwg.org/dwc/terms/collectionID
continent,http://rs.tdwg.org/dwc/terms/continent
coordinatePrecision,http://rs.tdwg.org/dwc/terms/coordinatePrecision
coordinateUncertaintyInMeters,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters
country,http://rs.tdwg.org/dwc/terms/country
countryCode,http://rs.tdwg.org/dwc/terms/countryCode
county,http://rs.tdwg.org/dwc/terms/county
cultivarEpithet,http://rs.tdwg.org/dwc/terms/cultivarEpithet
dataGeneralizations,http://rs.tdwg.org/dwc/terms/dataGeneralizations
datasetID,http://rs.tdwg.org/dwc/terms/datasetID
datasetName,http://rs.tdwg.org/dwc/terms/datasetName
dateIdentified,http://rs.tdwg.org/dwc/terms/dateIdentified
day,http://rs.tdwg.org/dwc/terms/day
decimalLatitude,http://rs.tdwg.org/dwc/terms/decimalLatitude
decimalLongitude,http://rs.tdwg.org/dwc/terms/decimalLongitude
degreeOfEstablishment,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment
disposition,http://rs.tdwg.org/dwc/terms/disposition
dynamicProperties,http://rs.tdwg.org/dwc/terms/dynamicProperties
earliestAgeOrLowestStage,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage
earliestEonOrLowestEonothem,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem
earliestEpochOrLowestSeries,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries
earliestEraOrLowestErathem,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem
earliestPeriodOrLowestSystem,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem
endDayOfYear,http://rs.tdwg.org/dwc/terms/endDayOfYear
establishmentMeans,http://rs.tdwg.org/dwc/terms/establishmentMeans
Event,http://rs.tdwg.org/dwc/terms/Event
eventDate,http://rs.tdwg.org/dwc/terms/eventDate
eventID,http://rs.tdwg.org/dwc/terms/eventID
eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks
eventTime,http://rs.tdwg.org/dwc/terms/eventTime
eventType,http://rs.tdwg.org/dwc/terms/eventType
family,http://rs.tdwg.org/dwc/terms/family
fieldNotes,http://rs.tdwg.org/dwc/terms/fieldNotes
fieldNumber,http://rs.tdwg.org/dwc/terms/fieldNumber
footprintSpatialFit,http://rs.tdwg.org/dwc/terms/footprintSpatialFit
footprintSRS,http://rs.tdwg.org/dwc/terms/footprintSRS
footprintWKT,http://rs.tdwg.org/dwc/terms/footprintWKT
formation,http://rs.tdwg.org/dwc/terms/formation
FossilSpecimen,http://rs.tdwg.org/dwc/terms/FossilSpecimen
genericName,http://rs.tdwg.org/dwc/terms/genericName
genus,http://rs.tdwg.org/dwc/terms/genus
geodeticDatum,http://rs.tdwg.org/dwc/terms/geodeticDatum
GeologicalContext,http://rs.tdwg.org/dwc/terms/GeologicalContext
geologicalContextID,http://rs.tdwg.org/dwc/terms/geologicalContextID
georeferencedBy,http://rs.tdwg.org/dwc/terms/georeferencedBy
georeferencedDate,http://rs.tdwg.org/dwc/terms/georeferencedDate
georeferenceProtocol,http://rs.tdwg.org/dwc/terms/georeferenceProtocol
georeferenceRemarks,http://rs.tdwg.org/dwc/terms/georeferenceRemarks
georeferenceSources,http://rs.tdwg.org/dwc/terms/georeferenceSources
georeferenceVerificationStatus,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus
group,http://rs.tdwg.org/dwc/terms/group
habitat,http://rs.tdwg.org/dwc/terms/habitat
higherClassification,http://rs.tdwg.org/dwc/terms/higherClassification
higherGeography,http://rs.tdwg.org/dwc/terms/higherGeography
higherGeographyID,http://rs.tdwg.org/dwc/terms/higherGeographyID
highestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone
HumanObservation,http://rs.tdwg.org/dwc/terms/HumanObservation
Identification,http://rs.tdwg.org/dwc/terms/Identification
identificationID,http://rs.tdwg.org/dwc/terms/identificationID
identificationQualifier,http://rs.tdwg.org/dwc/terms/identificationQualifier
identificationReferences,http://rs.tdwg.org/dwc/terms/identificationReferences
identificationRemarks,http://rs.tdwg.org/dwc/terms/identificationRemarks
identificationVerificationStatus,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus
identifiedBy,http://rs.tdwg.org/dwc/terms/identifiedBy
identifiedByID,http://rs.tdwg.org/dwc/terms/identifiedByID
individualCount,http://rs.tdwg.org/dwc/terms/individualCount
informationWithheld,http://rs.tdwg.org/dwc/terms/informationWithheld
infragenericEpithet,http://rs.tdwg.org/dwc/terms/infragenericEpithet
infraspecificEpithet,http://rs.tdwg.org/dwc/terms/infraspecificEpithet
institutionCode,http://rs.tdwg.org/dwc/terms/institutionCode
institutionID,http://rs.tdwg.org/dwc/terms/institutionID
island,http://rs.tdwg.org/dwc/terms/island
islandGroup,http://rs.tdwg.org/dwc/terms/islandGroup
kingdom,http://rs.tdwg.org/dwc/terms/kingdom
latestAgeOrHighestStage,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage
latestEonOrHighestEonothem,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem
latestEpochOrHighestSeries,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries
latestEraOrHighestErathem,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem
latestPeriodOrHighestSystem,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem
lifeStage,http://rs.tdwg.org/dwc/terms/lifeStage
lithostratigraphicTerms,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms
LivingSpecimen,http://rs.tdwg.org/dwc/terms/LivingSpecimen
locality,http://rs.tdwg.org/dwc/terms/locality
locationAccordingTo,http://rs.tdwg.org/dwc/terms/locationAccordingTo
locationID,http://rs.tdwg.org/dwc/terms/locationID
locationRemarks,http://rs.tdwg.org/dwc/terms/locationRemarks
lowestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone
MachineObservation,http://rs.tdwg.org/dwc/terms/MachineObservation
MaterialCitation,http://rs.tdwg.org/dwc/terms/MaterialCitation
MaterialEntity,http://rs.tdwg.org/dwc/terms/MaterialEntity
materialEntityID,http://rs.tdwg.org/dwc/terms/materialEntityID
materialEntityRemarks,http://rs.tdwg.org/dwc/terms/materialEntityRemarks
MaterialSample,http://rs.tdwg.org/dwc/terms/MaterialSample
materialSampleID,http://rs.tdwg.org/dwc/terms/materialSampleID
maximumDepthInMeters,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters
maximumDistanceAboveSurfaceInMeters,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters
